

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
029.274  000.181  000.181: require('nvim-treesitter.utils')
029.278  000.359  000.178: require('nvim-treesitter.ts_utils')
029.281  001.081  000.051: require('luasnip.extras.filetype_functions')
029.344  000.049  000.049: require('luasnip.nodes.absolute_indexer')
029.402  000.057  000.057: require('luasnip.extras')
029.461  000.055  000.055: require('luasnip.extras.fmt')
029.609  000.057  000.057: require('luasnip.extras.conditions')
029.658  000.046  000.046: require('luasnip.extras.conditions.show')
029.662  000.156  000.053: require('luasnip.extras.conditions.expand')
029.664  000.201  000.045: require('luasnip.extras.expand_conditions')
029.715  000.050  000.050: require('luasnip.extras.postfix')
029.869  001.735  000.242: require('luasnip.config')
029.873  005.588  000.122: require('luasnip')
030.676  000.073  000.073: require('lvim.core.dap')
030.811  000.061  000.061: require('lvim.core.terminal')
030.872  000.054  000.054: require('lvim.core.telescope')
032.142  000.176  000.176: require('plenary.bit')
032.342  000.174  000.174: require('plenary.functional')
032.362  000.587  000.237: require('plenary.path')
032.369  000.773  000.186: require('plenary.strings')
032.564  000.194  000.194: require('telescope.deprecated')
033.215  000.255  000.255: require('plenary.log')
033.258  000.485  000.230: require('telescope.log')
033.685  000.209  000.209: require('plenary.job')
033.882  000.194  000.194: require('telescope.state')
033.889  000.628  000.225: require('telescope.utils')
033.894  001.328  000.215: require('telescope.sorters')
035.546  004.163  001.867: require('telescope.config')
035.931  000.185  000.185: require('plenary.window.border')
036.102  000.168  000.168: require('plenary.window')
036.274  000.171  000.171: require('plenary.popup.utils')
036.278  000.729  000.205: require('plenary.popup')
036.480  000.201  000.201: require('telescope.pickers.scroller')
036.679  000.197  000.197: require('telescope.actions.state')
036.880  000.200  000.200: require('telescope.actions.utils')
037.282  000.197  000.197: require('telescope.actions.mt')
037.299  000.418  000.221: require('telescope.actions.set')
037.698  000.202  000.202: require('telescope.config.resolve')
037.700  000.399  000.197: require('telescope.pickers.entry_display')
037.893  000.192  000.192: require('telescope.from_entry')
038.101  007.227  000.730: require('telescope.actions')
038.185  000.065  000.065: require('lvim.core.treesitter')
038.281  000.089  000.089: require('lvim.core.nvimtree')
038.364  000.062  000.062: require('lvim.core.lir')
038.803  000.046  000.046: require('lvim.core.illuminate')
038.849  000.041  000.041: require('lvim.core.indentlines')
038.902  000.050  000.050: require('lvim.core.breadcrumbs')
038.951  000.039  000.039: require('lvim.core.project')
039.006  000.050  000.050: require('lvim.core.bufferline')
039.054  000.044  000.044: require('lvim.core.autopairs')
039.105  000.046  000.046: require('lvim.core.comment')
039.278  000.171  000.171: require('ts_context_commentstring.integrations.comment_nvim')
039.322  000.039  000.039: require('lvim.core.lualine')
039.362  000.037  000.037: require('lvim.core.alpha')
